,,sample_10,sample_20,sample_30,sample_40,sample_50,sample_60,sample_80,sample_100,sample_200,sample_402
roc_auc,99,0.71776,0.74662,0.80431,0.8018,0.82397,0.82296,0.83961,0.84768,0.84967,0.87579
roc_auc,100,0.74245,0.75585,0.80278,0.81456,0.83834,0.83945,0.8508,0.86452,0.89046,0.90137
roc_auc,101,0.7544,0.83093,0.83543,0.848,0.85576,0.8644,0.86496,0.88877,0.88345,0.90598
roc_auc,102,0.69005,0.74798,0.77934,0.81463,0.80727,0.83128,0.85411,0.86937,0.87344,0.88111
roc_auc,103,0.73195,0.76305,0.75287,0.78053,0.80138,0.79613,0.80255,0.80867,0.84519,0.87813
roc_auc,104,0.74937,0.77194,0.81146,0.84025,0.84482,0.84953,0.87576,0.8588,0.88544,0.91157
roc_auc,105,0.72008,0.73806,0.77863,0.80034,0.82439,0.82785,0.85077,0.85928,0.87161,0.89274
roc_auc,106,0.73586,0.77341,0.79805,0.80069,0.80965,0.81039,0.82386,0.82939,0.83931,0.85818
roc_auc,107,0.68598,0.76233,0.80731,0.82787,0.83505,0.84914,0.847,0.85478,0.87187,0.89354
roc_auc,108,0.7321,0.79215,0.80003,0.82179,0.82246,0.82687,0.85335,0.84399,0.86311,0.88684
roc_auc,109,0.71502,0.77673,0.78921,0.83596,0.84365,0.86065,0.87068,0.88704,0.89565,0.89613
roc_auc,110,0.76023,0.7888,0.81875,0.85004,0.83864,0.85511,0.87511,0.86769,0.89004,0.8976
roc_auc,111,0.7108,0.78023,0.8037,0.84291,0.83993,0.82831,0.84933,0.8468,0.85372,0.88627
roc_auc,112,0.70989,0.76102,0.78759,0.81432,0.82504,0.82996,0.8437,0.85693,0.85677,0.88516
